,open,high,low,close,volume,date
0,226.5,226.5,219.0,219.5,32900482,2019-01-02
1,214.0,218.0,214.0,215.5,34615620,2019-01-03
2,211.5,211.5,206.5,208.0,67043521,2019-01-04
3,212.0,214.0,211.0,213.0,35695176,2019-01-07
4,212.0,212.5,210.0,211.0,23794481,2019-01-08
5,212.0,216.5,211.0,215.5,51255446,2019-01-09
6,216.0,216.5,214.5,216.0,20832593,2019-01-10
7,219.0,220.5,218.0,220.5,28658288,2019-01-11
8,218.5,220.0,217.0,218.5,17612296,2019-01-14
9,216.5,221.0,215.5,221.0,42990923,2019-01-15
10,218.5,220.0,217.5,217.5,30038282,2019-01-16
11,218.0,221.0,218.0,220.5,21163986,2019-01-17
12,219.0,220.0,217.5,218.5,52677569,2019-01-18
13,220.0,223.0,220.0,221.0,32515866,2019-01-21
14,220.0,223.0,219.0,223.0,30958483,2019-01-22
15,221.5,222.0,220.0,220.5,18671213,2019-01-23
16,222.5,222.5,220.5,222.5,31348924,2019-01-24
17,226.5,227.0,225.0,226.0,48039764,2019-01-25
18,229.5,229.5,228.0,229.0,29134257,2019-01-28
19,222.5,225.0,222.0,222.5,42566520,2019-01-29
20,220.5,221.5,220.0,221.0,51889945,2019-01-30
21,228.0,229.0,226.5,228.0,81360106,2019-02-11
22,230.0,230.0,229.0,230.0,30125670,2019-02-12
23,232.0,232.0,228.5,229.0,28634925,2019-02-13
24,229.5,230.0,226.0,227.0,23647751,2019-02-14
25,229.0,229.0,226.5,227.0,22369799,2019-02-15
26,229.0,230.5,228.5,230.0,18163916,2019-02-18
27,230.0,230.5,229.0,229.0,18423023,2019-02-19
28,231.5,234.5,231.0,234.5,31887710,2019-02-20
29,235.5,236.5,234.5,236.5,34013489,2019-02-21
30,235.5,236.5,234.0,236.5,22032163,2019-02-22
31,237.5,239.0,236.0,238.0,25227138,2019-02-25
32,239.0,240.0,236.5,239.5,24586789,2019-02-26
33,238.5,239.5,237.0,239.0,37947889,2019-02-27
34,239.5,239.5,234.5,235.5,45164513,2019-03-04
35,234.0,234.5,232.5,233.0,23708407,2019-03-05
36,235.0,235.5,233.5,234.0,20811226,2019-03-06
37,235.0,235.0,233.0,234.0,17226192,2019-03-07
38,231.0,231.5,229.0,230.0,22535659,2019-03-08
39,228.0,230.5,227.5,230.5,34282793,2019-03-11
40,233.0,237.0,232.5,235.5,23839972,2019-03-12
41,234.0,237.0,234.0,237.0,22493195,2019-03-13
42,239.0,239.0,234.0,234.5,17281356,2019-03-14
43,237.0,239.5,235.5,239.0,34542729,2019-03-15
44,239.5,241.0,239.0,241.0,27040532,2019-03-18
45,239.0,240.5,238.0,240.5,14620009,2019-03-19
46,242.0,242.0,239.5,242.0,23055971,2019-03-20
47,242.5,245.5,241.0,245.5,27514502,2019-03-21
48,248.0,248.5,244.5,248.5,22996467,2019-03-22
49,240.5,243.5,240.5,241.5,19273254,2019-03-25
50,243.0,244.0,241.0,244.0,21053170,2019-03-26
51,242.0,242.5,240.5,241.5,23622089,2019-03-27
52,240.5,242.5,240.0,242.0,13998054,2019-03-28
53,243.0,245.5,240.5,245.5,31024810,2019-03-29
54,251.0,251.0,245.0,245.5,35330656,2019-04-01
55,249.5,249.5,246.0,246.0,25189053,2019-04-02
56,249.0,249.0,246.5,246.5,28581323,2019-04-03
57,251.0,253.0,250.5,253.0,46426821,2019-04-08
58,253.0,254.0,252.0,254.0,22745674,2019-04-09
59,253.0,254.5,252.0,254.0,33174934,2019-04-10
60,253.0,254.0,251.5,252.0,25146840,2019-04-11
61,251.5,253.0,251.0,252.0,13888148,2019-04-12
62,255.0,256.0,254.0,255.5,17257002,2019-04-15
63,257.0,257.0,255.5,257.0,20231648,2019-04-16
64,260.0,263.0,259.5,261.5,39037191,2019-04-17
65,264.0,266.0,263.5,264.5,48525490,2019-04-18
66,269.0,269.5,263.5,264.5,47698699,2019-04-19
67,266.5,267.5,265.0,266.0,24967393,2019-04-22
68,266.5,268.0,266.0,268.0,26251847,2019-04-23
69,270.0,270.0,267.5,269.0,37386755,2019-04-24
70,268.5,269.0,267.0,267.5,36572455,2019-04-25
71,262.0,263.0,257.5,260.0,51743804,2019-04-26
72,260.0,262.0,258.5,259.5,32651618,2019-04-29
73,260.0,260.5,258.0,259.0,40446419,2019-04-30
74,261.5,262.5,258.5,259.0,27376394,2019-05-02
75,262.0,265.0,260.5,265.0,30200246,2019-05-03
76,260.0,260.0,258.0,259.0,33688187,2019-05-06
77,259.5,263.0,259.0,262.5,25686126,2019-05-07
78,260.0,261.5,259.5,260.0,25902364,2019-05-08
79,259.5,259.5,256.0,256.5,34166574,2019-05-09
80,257.0,259.0,255.0,256.0,18868212,2019-05-10
81,253.0,254.0,249.5,250.5,29317535,2019-05-13
82,247.5,251.0,245.0,248.5,45620708,2019-05-14
83,251.0,252.0,249.0,249.0,37223479,2019-05-15
84,248.5,249.5,246.0,247.0,30331519,2019-05-16
85,249.0,249.0,241.5,241.5,40006856,2019-05-17
86,242.5,243.0,238.0,238.0,47097661,2019-05-20
87,233.5,236.0,232.5,234.0,82872775,2019-05-21
88,236.5,240.5,235.5,238.0,36289034,2019-05-22
89,233.5,233.5,230.0,230.0,62258627,2019-05-23
90,230.0,234.0,230.0,233.0,38226789,2019-05-24
91,234.0,235.0,231.0,231.0,37447033,2019-05-27
92,232.0,232.0,230.5,230.5,99322033,2019-05-28
93,228.0,230.5,227.0,229.5,32260236,2019-05-29
94,230.0,231.5,229.0,231.0,40375328,2019-05-30
95,232.0,237.5,231.0,235.5,49163217,2019-05-31
96,235.5,238.5,232.0,238.0,36687092,2019-06-03
97,237.5,238.0,233.0,233.0,24443428,2019-06-04
98,238.0,238.0,234.0,235.0,35901584,2019-06-05
99,231.5,232.0,229.5,232.0,34651731,2019-06-06
100,237.5,240.0,234.5,240.0,35521888,2019-06-10
101,240.0,246.0,239.0,244.5,34691670,2019-06-11
102,244.5,247.5,243.0,246.0,30409556,2019-06-12
103,242.5,244.0,240.0,240.0,33731724,2019-06-13
104,238.5,239.5,236.0,236.0,35403556,2019-06-14
105,231.5,235.0,230.5,233.0,51692012,2019-06-17
106,234.0,235.5,233.0,235.5,28798087,2019-06-18
107,242.5,244.0,240.5,244.0,50234372,2019-06-19
108,242.0,245.5,241.0,245.0,39717291,2019-06-20
109,248.0,248.5,246.0,248.5,62136304,2019-06-21
110,241.0,242.0,240.0,241.0,43460507,2019-06-24
111,241.0,241.5,237.0,238.5,29735283,2019-06-25
112,235.0,236.5,234.0,234.5,28770041,2019-06-26
113,236.0,241.5,236.0,240.5,42007834,2019-06-27
114,241.5,241.5,238.0,239.0,28085212,2019-06-28
115,245.5,250.0,245.0,248.5,66370875,2019-07-01
116,249.5,250.0,247.5,249.0,26832202,2019-07-02
117,244.0,245.0,242.0,242.5,29549774,2019-07-03
118,244.5,245.0,242.5,244.0,18691240,2019-07-04
119,244.5,245.0,241.5,243.0,27317074,2019-07-05
120,240.0,244.5,240.0,242.5,29190909,2019-07-08
121,241.5,243.0,240.5,242.0,16538987,2019-07-09
122,243.0,247.0,243.0,247.0,23812131,2019-07-10
123,250.0,250.0,247.5,250.0,31296289,2019-07-11
124,252.0,252.0,249.5,250.5,23868432,2019-07-12
